ID,Timestamp,Entity Type,Entity ID,Action,User ID,Severity,Category,IP Address
ef6c1cf7-2fe5-4e62-98ff-0c969dce2784,2025-08-26T10:14:39.000Z,user_session,report-test-4,access_denied,report-user,critical,security,
1e472114-dfec-4261-aad9-97b98ba64ee7,2025-08-26T10:14:39.000Z,admin_action,d94b9c5e-b319-4a2f-8f1d-0f9f9822d434,create,,low,compliance,
b83dc543-4e35-474f-aafc-9e92a7013a75,2025-08-26T10:14:39.000Z,parent,report-test-2,consent_given,report-user,high,consent_management,
4b06857c-7f6b-4445-b295-510b7932361e,2025-08-26T10:14:39.000Z,gdpr_request,report-test-3,export,report-user,high,data_access,
513cf59a-c53f-45a7-9943-27d54b5dc957,2025-08-26T10:14:39.000Z,admin_action,fe390f2c-a87b-41be-b22b-197e4f2b4bb0,create,,low,compliance,
3400a470-6b85-4f38-a17c-126a6ec27df2,2025-08-26T10:14:35.000Z,admin_action,user@example.com,access_denied,,high,system,
27c1e1f3-e0fe-4b1d-a04c-706b0990a4bb,2025-08-26T10:14:05.000Z,admin_action,student@example.com,access_denied,,high,system,
39419a81-29a6-4a78-a351-1919ce060c79,2025-08-26T10:13:35.000Z,admin_action,parent@example.com,access_denied,,high,system,
92cf3857-006a-4844-882a-59bf113ac9e4,2025-08-26T10:13:05.000Z,admin_action,test@example.com,access_denied,,high,system,
0031d8bc-4018-458b-bc8e-daa546291443,2025-08-26T10:12:35.000Z,admin_action,test@example.com,access_denied,,high,system,
338f7555-0122-4961-9dac-a79956e20ff2,2025-08-26T10:12:05.000Z,admin_action,test@example.com,access_denied,,high,system,
a1639d31-16f4-4277-b1c5-90acd627bad8,2025-08-26T10:11:35.000Z,admin_action,test@example.com,access_denied,,high,system,
8339c33c-b901-4c6e-b72d-e18331bea1a4,2025-08-26T10:10:37.000Z,admin_action,user1@example.com,access_denied,,high,system,
2ad753af-f85b-444c-91b5-b367e77418d1,2025-08-26T10:10:19.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
a60a26ce-eca3-412b-9415-9b3b71bf3d46,2025-08-26T10:10:19.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
94f93391-42ad-4ddc-9ba8-1b14f868d380,2025-08-26T10:10:18.000Z,admin_action,cea67761-6883-40ad-bc3c-4a99aada73cb,create,,low,compliance,
18a3a567-4849-4848-851c-ff29b48a1f44,2025-08-26T10:10:18.000Z,admin_action,df3b4e03-4b85-4fa5-839b-74f92b2e05b5,create,,low,compliance,
c3985c63-337b-48fa-b42c-ef3f9833d5f4,2025-08-26T10:10:18.000Z,admin_action,7552c04b-fb53-4ed8-bc88-cb18f4ec4794,create,,low,compliance,
bd4e25ca-f247-49cc-844e-749332b86759,2025-08-26T10:10:18.000Z,admin_action,cc598d67-5a01-4cf4-b8dc-61de1aafe9a3,create,,low,compliance,
6b49bcd8-db20-4eae-82e0-5deffcf2c8ba,2025-08-26T10:10:07.000Z,admin_action,user@example.com,access_denied,,high,system,
13b397dd-278c-4a42-92d1-7c0e77abdb18,2025-08-26T10:09:37.000Z,admin_action,user@example.com,access_denied,,high,system,
2d96a57b-f603-4064-a54c-e2c79ffff830,2025-08-26T10:09:07.000Z,admin_action,student@example.com,access_denied,,high,system,
9bb48c87-e8ad-49a2-bc88-42df717c4b2b,2025-08-26T10:08:37.000Z,admin_action,parent@example.com,access_denied,,high,system,
5ef38e3b-8595-4b63-898a-1fbf9045c6fb,2025-08-26T10:08:07.000Z,admin_action,test@example.com,access_denied,,high,system,
9e4af139-f633-410c-8f36-24d79cc43a3c,2025-08-26T10:07:37.000Z,admin_action,test@example.com,access_denied,,high,system,
780bc2a5-2ad4-42ba-b987-d27f1a95215b,2025-08-26T10:07:07.000Z,admin_action,test@example.com,access_denied,,high,system,
10d40870-11af-433c-84f9-ec22490daca2,2025-08-26T10:06:37.000Z,admin_action,test@example.com,access_denied,,high,system,
c0ce8cd9-c7ea-4128-90cd-c655d572d81a,2025-08-26T10:05:21.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
15ac8f8b-a789-4103-8839-da06761c36e3,2025-08-26T10:05:21.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
6894363a-3833-4968-81de-a3d70f1b7e7e,2025-08-26T10:05:20.000Z,admin_action,b6a5757c-54e6-4151-ab76-d663a48a0d30,create,,low,compliance,
95eba8ea-dd2e-47b3-a7f9-29d35b683ccf,2025-08-26T10:05:20.000Z,admin_action,2261d102-ad89-4cb9-b81b-d13b4bd82411,create,,low,compliance,
c886e775-83cc-47d3-a918-2114206ca452,2025-08-26T10:05:20.000Z,admin_action,251da6c8-2702-4906-b8a3-6e33293886cf,create,,low,compliance,
d77b8eb1-a367-4e4f-83bf-ae0611584ec1,2025-08-26T10:05:20.000Z,admin_action,0e7ab27e-cf63-434f-9dfe-9df361daa361,create,,low,compliance,
0079912e-b35f-4c33-840c-f87b7ec4dfae,2025-08-26T09:58:59.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
31a58a6a-03cf-438a-ad3e-9569d40d0988,2025-08-26T09:58:59.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
7539f9c0-cdaa-498a-a166-c93b62fbfd04,2025-08-26T09:58:58.000Z,admin_action,65bbf1c9-598f-4f6d-867f-94fffbd634e2,create,,low,compliance,
