ID,Timestamp,Entity Type,Entity ID,Action,User ID,Severity,Category,IP Address
578f62f6-c41c-45c5-86c7-d902374f6e1b,2025-08-26T10:25:21.000Z,admin_action,da43b53c-a542-4446-a823-0f9882f1d0b5,create,,low,compliance,
45c14b71-fd45-4cfe-af99-2037651443e4,2025-08-26T10:25:21.000Z,admin_action,337d208a-36e8-4709-9f35-87e94154760d,create,,low,compliance,
6529ddf3-eabf-4d19-b7c3-af9154abffb1,2025-08-26T10:22:33.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
b40a1934-09b7-4829-b948-d47f7c8691a4,2025-08-26T10:22:33.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
8aa7f2f4-4e34-49d1-8d10-40cb191eba1c,2025-08-26T10:22:30.000Z,admin_action,f76594bd-9740-493c-b2c2-3fc0ed7c31fd,create,,low,compliance,
bb2df947-9cad-4bd0-85a5-cb6a1444f772,2025-08-26T10:22:30.000Z,admin_action,8411bf64-eec2-4b48-af01-25cc3f000d55,create,,low,compliance,
25fb6fe9-211c-466a-8cc8-ca20428294ff,2025-08-26T10:22:29.000Z,admin_action,aee1b59c-6f1f-43a8-b9c6-6f0aa4718398,create,,low,compliance,
02975c5e-7b92-46a6-8057-f250d6f6b3a9,2025-08-26T10:22:28.000Z,admin_action,0fdc1277-7ad2-4881-8a53-f5e92954ffdd,create,,low,compliance,
9536e29b-0b56-44e7-9c1f-5802b41b889a,2025-08-26T10:18:07.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
a6c9acd3-5b87-4fcb-aa00-9e4e4b634d69,2025-08-26T10:18:07.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
4a74a508-4de0-4ee5-86a0-3827711f058e,2025-08-26T10:18:06.000Z,admin_action,fd313d87-6f6f-4116-af5b-cdff674665a2,create,,low,compliance,
711681f6-d3b1-47a0-9b44-6ea85ceba351,2025-08-26T10:18:06.000Z,admin_action,f874c2fd-243d-4a8a-bdd0-edf7c3cc48a4,create,,low,compliance,
8a3058a9-2647-4060-b441-c0649650bfef,2025-08-26T10:18:06.000Z,admin_action,fbcfc778-5008-475b-9108-158ae38d0dba,create,,low,compliance,
77017bfe-7cab-4617-8410-e1a3f81e2f90,2025-08-26T10:18:06.000Z,admin_action,d6c093e9-88af-47b8-88b1-bf3a3d5c1c64,create,,low,compliance,
f100ba18-64ea-4815-b008-5d3f8af4e9ee,2025-08-26T10:15:36.000Z,admin_action,user1@example.com,access_denied,,high,system,
f030a377-18e9-4ec7-8953-9c84fc113551,2025-08-26T10:15:05.000Z,admin_action,user@example.com,access_denied,,high,system,
0c83cf80-5d84-4b35-b6f7-d0d3ef36ef3a,2025-08-26T10:14:40.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
11a61a4d-4349-4e2c-aaa0-dc0f8a0ab29b,2025-08-26T10:14:40.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
f50c5f15-abf5-4399-b34a-f9a5a9b633ba,2025-08-26T10:14:39.000Z,admin_action,6fac364c-383a-4428-99ca-727ed1967b11,create,,low,compliance,
513cf59a-c53f-45a7-9943-27d54b5dc957,2025-08-26T10:14:39.000Z,admin_action,fe390f2c-a87b-41be-b22b-197e4f2b4bb0,create,,low,compliance,
b5e19be9-22e1-4026-8b89-a3ebc518da8d,2025-08-26T10:14:39.000Z,admin_action,2465c66e-8edd-4f4a-8661-20943cc84898,create,,low,compliance,
1e472114-dfec-4261-aad9-97b98ba64ee7,2025-08-26T10:14:39.000Z,admin_action,d94b9c5e-b319-4a2f-8f1d-0f9f9822d434,create,,low,compliance,
3400a470-6b85-4f38-a17c-126a6ec27df2,2025-08-26T10:14:35.000Z,admin_action,user@example.com,access_denied,,high,system,
27c1e1f3-e0fe-4b1d-a04c-706b0990a4bb,2025-08-26T10:14:05.000Z,admin_action,student@example.com,access_denied,,high,system,
39419a81-29a6-4a78-a351-1919ce060c79,2025-08-26T10:13:35.000Z,admin_action,parent@example.com,access_denied,,high,system,
92cf3857-006a-4844-882a-59bf113ac9e4,2025-08-26T10:13:05.000Z,admin_action,test@example.com,access_denied,,high,system,
0031d8bc-4018-458b-bc8e-daa546291443,2025-08-26T10:12:35.000Z,admin_action,test@example.com,access_denied,,high,system,
338f7555-0122-4961-9dac-a79956e20ff2,2025-08-26T10:12:05.000Z,admin_action,test@example.com,access_denied,,high,system,
a1639d31-16f4-4277-b1c5-90acd627bad8,2025-08-26T10:11:35.000Z,admin_action,test@example.com,access_denied,,high,system,
8339c33c-b901-4c6e-b72d-e18331bea1a4,2025-08-26T10:10:37.000Z,admin_action,user1@example.com,access_denied,,high,system,
a60a26ce-eca3-412b-9415-9b3b71bf3d46,2025-08-26T10:10:19.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
2ad753af-f85b-444c-91b5-b367e77418d1,2025-08-26T10:10:19.000Z,student,anonymize-test-student-456,anonymize,,high,compliance,
18a3a567-4849-4848-851c-ff29b48a1f44,2025-08-26T10:10:18.000Z,admin_action,df3b4e03-4b85-4fa5-839b-74f92b2e05b5,create,,low,compliance,
94f93391-42ad-4ddc-9ba8-1b14f868d380,2025-08-26T10:10:18.000Z,admin_action,cea67761-6883-40ad-bc3c-4a99aada73cb,create,,low,compliance,
bd4e25ca-f247-49cc-844e-749332b86759,2025-08-26T10:10:18.000Z,admin_action,cc598d67-5a01-4cf4-b8dc-61de1aafe9a3,create,,low,compliance,
c3985c63-337b-48fa-b42c-ef3f9833d5f4,2025-08-26T10:10:18.000Z,admin_action,7552c04b-fb53-4ed8-bc88-cb18f4ec4794,create,,low,compliance,
6b49bcd8-db20-4eae-82e0-5deffcf2c8ba,2025-08-26T10:10:07.000Z,admin_action,user@example.com,access_denied,,high,system,
